Datetime,Close,High,Low,Open,Volume,Returns,Log_Returns,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Histogram,RSI,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,Volatility_10,Volatility_20,Price_Change,Price_Change_Pct,HL_Spread,HL_Spread_Pct,Hour,DayOfWeek,Month,Quarter,Is_Trading_Hours,Is_Market_Open,Is_Premarket,Is_Aftermarket,Is_Extended_Hours
2024-06-20 18:00:00+00:00,181.08839416503906,181.35000610351562,180.1300048828125,181.13999938964844,4327111,-0.0003400482115418768,-0.0003401060410452142,183.0317188647461,,,182.33321526014026,182.80133661887137,-0.4681213587311106,-0.29841945672554115,-0.16970190200556945,,,,,,,0.00554775006947097,,-0.051605224609375,-0.028489138115964943,1.220001220703125,0.6737048093713002,18,3,6,2,0,0,0,1,1
2024-06-20 19:00:00+00:00,181.52000427246094,181.97000122070312,180.75,181.08999633789062,3772053,0.0023834222475269673,0.0023805864018399234,182.6257192919922,,,182.18862901618837,182.64390475091508,-0.4552757347267118,-0.3321056069418932,-0.12317012778481856,,,,,,,0.005628409142888968,,0.4300079345703125,0.23745537758362592,1.220001220703125,0.6721029043564295,19,3,6,2,0,0,0,1,1
2024-06-20 20:00:00+00:00,181.56,181.8,181.41,181.56,0,0.00022033785036179587,0.00022031357954276613,182.21771929199218,,,182.07947513768673,182.51692550485313,-0.43745036716640584,-0.3544002182026956,-0.08305014896371021,,,,,,,0.0056233813524981914,,0.0,0.0,0.3900000000000148,0.21480502313285676,20,3,6,2,0,0,0,1,1
2024-06-20 21:00:00+00:00,181.3,191.7548,170.1936,181.56,0,-0.0014320334875522756,-0.0014330598274594414,181.86671929199218,,,181.94675540898308,182.3802502883118,-0.43349487932871966,-0.37094688032403206,-0.0625479990046876,25.83552419677062,,,,,,0.005569203121015237,,-0.2599999999999909,-0.14320334875522742,21.561199999999985,11.892553778268056,21,3,6,2,0,0,0,0,0
2024-06-20 22:00:00+00:00,181.55,184.68,181.25,181.285,0,0.0013789299503585983,0.0013779800995394975,181.53464929199217,,,181.88029208576285,182.29043754445397,-0.41014545869111885,-0.3790724904889403,-0.03107296820217853,27.999521486400965,,,,,,0.005625564136455748,,0.2650000000000148,0.1461786689466943,3.430000000000007,1.8892866978793756,22,3,6,2,0,0,0,0,0
2024-06-20 23:00:00+00:00,181.5,181.65,181.45,181.55,0,-0.0002754062241807631,-0.0002754441554394182,181.43832971191404,,,181.81744582015668,182.20775128401465,-0.3903054638579704,-0.38138415266856357,-0.008921311189406811,25.592233687957673,,,,,,0.004011979298953121,,-0.05000000000001137,-0.027540622418072907,0.20000000000001705,0.11019283746557414,23,3,6,2,0,0,0,0,0
2024-06-21 08:00:00+00:00,180.5,181.48,180.34,181.29,0,-0.0055096418732781816,-0.005524875931969804,181.2083400878906,,,181.60218402059044,182.03439961511862,-0.4322155945281736,-0.3917846391762889,-0.04043095535188468,22.35963373678912,,,,,,0.0041995824830345155,,-0.789999999999992,-0.43576589993931936,1.1399999999999864,0.6315789473684135,8,4,6,2,0,0,1,0,1
2024-06-21 09:00:00+00:00,180.83,180.87,180.32,180.49,0,0.001828254847645594,0.0018265856239528312,181.11883947753907,,,181.477207504425,181.91540705656294,-0.43819955213794515,-0.4012379168804029,-0.03696163525754226,27.381211330726074,,,,,,0.003957238437604145,,0.3400000000000034,0.18837608731785882,0.5500000000000114,0.3041530719460329,9,4,6,2,1,1,0,0,0
2024-06-21 10:00:00+00:00,180.6,180.9,180.46,180.81,0,-0.0012719128463198892,-0.0012727224140033735,181.15983923339843,,,181.33636018955568,181.78858278251244,-0.45222259295675826,-0.411583954207193,-0.04063863874956525,26.187357606684216,,,,,,0.0028487795883750454,,-0.21000000000000796,-0.11614401858304738,0.4399999999999977,0.24363233665559123,10,4,6,2,1,1,0,0,0
2024-06-21 11:00:00+00:00,181.13,181.23,180.2,180.6,0,0.002934662236987906,0.0029303645219402783,181.15783984375,182.3063596459961,,181.3034473998775,181.72647342039042,-0.42302602051290705,-0.41389905880712247,-0.009126961705784586,40.59777818602998,182.3063596459961,186.00017303595186,178.61254625604036,7.3876267799115,0.3407662323718244,0.002444969379844383,,0.5300000000000011,0.2934662236987825,1.0300000000000011,0.5686523491415013,11,4,6,2,1,1,0,0,0
2024-06-21 12:00:00+00:00,180.89,181.64,175.705,181.09,0,-0.0013250151824656387,-0.0013258937912816254,181.13800042724608,182.0848596459961,,181.2378760691307,181.64915210197182,-0.4112760328411298,-0.4133695699411235,0.002093537099993714,36.344405576095255,182.0848596459961,185.54144828746735,178.62827100452483,6.913177282942513,0.32716201290768493,0.002479414304165206,0.004329994901512401,-0.20000000000001705,-0.1104423214976073,5.934999999999974,3.2809995024600442,12,4,6,2,1,1,0,0,0
2024-06-21 13:00:00+00:00,181.7449951171875,183.9188995361328,180.69000244140625,181.8300018310547,20397613,0.004726602450038753,0.004715467139018064,181.16049951171874,181.89310940185547,,181.31792314477548,181.65785181402686,-0.3399286692513783,-0.39857220451800435,0.05864353526662602,50.14755969161241,181.89310940185547,184.9337867018851,178.85243210182583,6.081354600059285,0.4756445242205536,0.002827232044443865,0.0044957612873700505,-0.0850067138671875,-0.04675065336366797,3.2288970947265625,1.7766085347465,13,4,6,2,1,1,0,0,0
